Course Name,Address,City,State,Zip Code,Hole,Course Condition,Hole_type,Tee_type,Lat,Long,Pay To Play,Private?,Avg Score,Played,Comments,
Alpine Camp ,415 Club House Dr.,Blue Jay,California,92317,9, -NP-,Baskets,Dirt,34.245174,-117.226243,no,yes,0,no,,
Alumni Park  ,24255 Pacific Coast Hwy,Malibu,California,90263,9, -NP-,Baskets,Natural,34.038151,-118.704674,no,yes,0,no,,
Anderson River Park   ,3030 Park Pl,Anderson,California,96007,18, -NP-,Mach 5,Concrete,40.465860,-122.272840,no,no,0,no,,
Anderson Valley Brewing Company   ,"17700 Boonville Rd,",Boonville,California,95415,18, -NP-,Mach 2,Gravel,39.000747,-123.356530,yes,yes,0,no,,
Aptos High School DGC ,100 Mariner Way,Aptos,California,95003,18, -NP-,Mach New 2,Concrete,36.976047,-121.861446,no,no,0,no,,
Aquatic Park ,94 Bolivar Dr,Berkeley,California,94703,18, -NP-,Mach X,Concrete,37.860600,-122.299797,no,no,0,no,,
Arakelian Park DGC ,946 J St,Livingston,California,95334,5, -NP-,Mach 5,Mixed,37.377792,-120.727569,no,no,0,no,,
Auburn Regional Park  ,3775 Richardson Dr,Auburn,California,95603,18, -NP-,Mach 3,Concrete,38.953900,-121.107250,no,no,0,no,,
Avalon Park DGC  ,16338 Avalon Avenue,Victorville,California,92395,6, -NP-,Baskets,Grass,34.538000,-117.307000,no,no,0,no,,
Beachfront Park DGC   ,,Crescent City,California,95531,24, -NP-,Mach 5,Concrete,41.748551,-124.195920,no,no,0,no,,
Beattie Park DGC  ,,Lompoc,California,93436,18, -NP-,Chainstar,Concrete,34.632100,-120.443800,no,no,0,no,,
Benicia Community Park ,,Benicia,California,94510,9, -NP-,DISCatcher,Rubber,38.085485,-122.158302,no,no,0,no,,
Bijou Community Park   ,,South Lake Tahoe,California,96150,27, -NP-,DISCatcher,Mixed,38.931885,-119.968680,no,no,0,no,,
Bill Byrd Memorial DGC    ,,Elk Creek,California,95939,18, -NP-,Baskets,Concrete,39.590408,-122.524588,no,no,0,no,,
Birds of Paradise     ,,Miranda,California,95553,27, -NP-,Baskets,Mixed,40.220000,-123.810000,no,yes,0,no,,
Black Butte DGC ,7752 Ponderosa Way,Shingletown,California,96088,9, -NP-,Baskets,Concrete,40.518558,-121.933495,no,no,0,no,,
Black Butte Lake DGC    ,,Orland,California,95963,18, -NP-,DISCatcher,Concrete,39.768457,-122.350981,no,no,0,no,,
